SystemName,mean,count
7OT,0.6622432859399684,6330
ARG,0.6680105170902717,5705
BBT,0.6717879198674499,6639
BIH,0.6753650201926064,9657
BOB,0.6757658477403701,9891
BUR,0.6696900982615268,5292
CNG,0.6737085034617433,11266
COL,0.6641884488965409,12778
DC,0.6667770419426049,9060
DCI,0.6678125358084107,8727
DII,0.6691374663072777,5936
DOK,0.6735239852398524,10840
DOL,0.6668265004395428,12513
DUN,0.6604004903964038,9788
EBP,0.6688701923076923,6656
GRN,0.6716253443526171,5445
KPK,0.6695303550973654,8730
KRA,0.6624920399066015,9422
LMC,0.67546699875467,8030
LOG,0.6589429337418613,5222
MAS,0.6716879489225858,10024
MB,0.6724415074120379,5599
MOR,0.6700031279324367,12788
NOL,0.6709480122324158,6540
PGH,0.6625589369909987,9332
PIG,0.666794736336567,10411
POM,0.6726917057902974,12780
REW,0.6606586559857588,8988
RPI,0.6661170651277823,10917
RT,0.668890314304041,7795
RTH,0.6676824503828723,12798
RTP,0.6620661382891501,7318
RTR,0.6710746102449888,7184
SAG,0.6710979042852674,12788
SE,0.6688545688545688,7770
SEL,0.6653884780425454,10953
SFX,0.6499332888592395,5996
SPW,0.6747369938031417,6939
STH,0.6710080474375265,9444
TPR,0.6713274932614556,5936
TRP,0.6627728839525087,5222
WIL,0.6632577851483324,10854
WLK,0.6678917735376916,12788
WOB,0.6635738546930661,12071
WOL,0.665884561238855,12786
